BLAST Ortholog,Sequence Length
BBY79276.1 IclR family transcriptional regulator [Mycolicibacterium pulveris],225
BBX03416.1 IclR family transcriptional regulator [Mycolicibacterium moriokaense],225
GAY16560.1 IclR family transcriptional regulator [Mycobacterium sp. shizuoka-1],225
BBX36087.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],225
EHI10749.1 regulatory protein IclR [Mycolicibacterium thermoresistibile ATCC 19527],225
BBZ17489.1 IclR family transcriptional regulator [Mycolicibacterium gadium],225
BBY90910.1 IclR family transcriptional regulator [Mycobacterium gallinarum],225
GJJ17230.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],225
"MDT5337965.1 IclR family transcriptional regulator, acetate operon repressor [Mycobacterium sp.]",225
BBY07825.1 IclR family transcriptional regulator [Mycobacterium noviomagense],225
BBY16765.1 IclR family transcriptional regulator [Mycolicibacterium litorale],225
BBX51442.1 IclR family transcriptional regulator [Mycolicibacterium poriferae],225
MDT5323181.1 hypothetical protein [Mycobacterium sp.],225
GFM19230.1 transcriptional regulator [Mycobacterium sp. PO1],225
BBX71069.1 IclR family transcriptional regulator [Mycolicibacterium psychrotolerans],225
GFG64129.1 IclR family transcriptional regulator [Mycobacterium kubicae],225
KEP43022.1 IclR family transcriptional regulator [Mycobacterium kansasii],225
MDT5007447.1 hypothetical protein [Mycobacterium sp.],225
MDT5126782.1 hypothetical protein [Mycobacterium sp.],225
MDT5099647.1 hypothetical protein [Mycobacterium sp.],225
ANI39209.1 IclR family transcriptional regulator [Mycolicibacterium vaccae 95051],225
MCU1696415.1 transcriptional regulator [Mycobacterium sp.],226
WP_355216625.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC006124],226
WP_264041302.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],226
"MDT5186771.1 IclR family transcriptional regulator, acetate operon repressor [Mycobacterium sp.]",226
HZN84378.1 IclR family transcriptional regulator [Mycobacterium sp.],227
HEY6649974.1 IclR family transcriptional regulator [Mycobacterium sp.],227
"WP_069424571.1 IclR family transcriptional regulator, partial [Mycolicibacterium porcinum]",227
"WP_325614572.1 IclR family transcriptional regulator, partial [Mycobacterium sp.]",228
PEG43059.1 IclR family transcriptional regulator [Mycolicibacterium agri],230
EIV23878.1 putative transcriptional regulator [Mycobacteroides abscessus 3A-0122-R],230
OBI58169.1 transcriptional regulator [Mycolicibacterium fortuitum],230
WP_083452959.1 IclR family transcriptional regulator [Mycolicibacterium goodii],230
OBG53869.1 transcriptional regulator [Mycolicibacterium fortuitum],230
KWX26252.1 transcriptional regulator [Mycolicibacterium wolinskyi],230
MEO8816108.1 IclR family transcriptional regulator [Mycobacterium sp.],231
HET9874335.1 IclR family transcriptional regulator [Mycobacterium sp.],231
WP_214092817.1 IclR family transcriptional regulator [Mycolicibacter acidiphilus],232
EIT90478.1 putative transcriptional regulator [Mycobacteroides abscessus 4S-0303],232
"SKU92375.1 Putative transcriptional regulator, IclR [Mycobacteroides abscessus subsp. abscessus]",233
HEX7426095.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_065026153.1 IclR family transcriptional regulator [Mycolicibacter sinensis],233
HEY5844673.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_308473279.1 IclR family transcriptional regulator [[Mycobacterium] kokjensenii],233
WP_327534364.1 IclR family transcriptional regulator [uncultured Mycolicibacterium sp.],233
WP_064923602.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacter],233
WP_059164364.1 IclR family transcriptional regulator [Mycobacterium sp. IS-3022],233
WP_064997004.1 IclR family transcriptional regulator [Mycolicibacter nonchromogenicus],233
HEX5144392.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_065019084.1 IclR family transcriptional regulator [Mycolicibacter sinensis],233
WP_085262145.1 IclR family transcriptional regulator [Mycolicibacter terrae],233
WP_326547328.1 IclR family transcriptional regulator [Mycolicibacterium sp. ND9-15],233
"SBS79405.1 Transcriptional regulator, IclR family [uncultured Mycobacterium sp.]",233
HPY26259.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_128109053.1 IclR family transcriptional regulator [Mycolicibacterium elephantis],233
WP_019735335.1 IclR family transcriptional regulator [Mycolicibacter kumamotonensis],233
WP_065289035.1 IclR family transcriptional regulator [Mycolicibacter kumamotonensis],233
WP_094285553.1 IclR family transcriptional regulator [Mycobacterium lehmannii],233
WP_409426622.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-11],233
WP_067971361.1 IclR family transcriptional regulator [Mycolicibacter icosiumassiliensis],233
UVO12657.1 IclR family transcriptional regulator [Mycobacterium sp. SVM_VP21],233
WP_108056441.1 IclR family transcriptional regulator [Mycolicibacterium sphagni],233
WP_224861359.1 IclR family transcriptional regulator [[Mycobacterium] zoologicum],233
WP_225400326.1 IclR family transcriptional regulator [[Mycobacterium] zoologicum],233
WP_059099606.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_057003460.1 IclR family transcriptional regulator [Mycobacterium kyorinense],233
WP_090339451.1 IclR family transcriptional regulator [Mycolicibacterium malmesburyense],233
WP_313675245.1 IclR family transcriptional regulator [Mycolicibacterium sp.],233
WP_163896826.1 IclR family transcriptional regulator [Mycolicibacterium pulveris],233
WP_316510377.1 IclR family transcriptional regulator [[Mycobacterium] wendilense],233
WP_105295275.1 IclR family transcriptional regulator [Mycolicibacter virginiensis],233
WP_083409527.1 IclR family transcriptional regulator [Mycolicibacterium rutilum],233
HTM84663.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_090281405.1 IclR family transcriptional regulator [Mycolicibacterium komanii],233
WP_207358294.1 IclR family transcriptional regulator [Mycolicibacterium sp. S2-37],233
WP_005141736.1 IclR family transcriptional regulator [Mycolicibacterium vinylchloridicum],233
WP_064422729.1 IclR family transcriptional regulator [Mycobacterium sp. GA-1285],233
WP_046751335.1 IclR family transcriptional regulator [Mycolicibacterium elephantis],233
HTI74448.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_083024256.1 IclR family transcriptional regulator [Mycolicibacter minnesotensis],233
WP_066844930.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_370499491.1 IclR family transcriptional regulator [Mycobacterium sp. pR1184],233
WP_047319361.1 IclR family transcriptional regulator [Mycolicibacter heraklionensis],233
WP_342930434.1 IclR family transcriptional regulator [Mycobacterium sp. 050272],233
WP_064351146.1 IclR family transcriptional regulator [Mycobacterium sp. GA-1199],233
WP_067293726.1 IclR family transcriptional regulator [Mycobacterium sp. 1164985.4],233
WP_193465320.1 IclR family transcriptional regulator [Mycobacterium novum],233
WP_064927519.1 IclR family transcriptional regulator [Mycolicibacterium elephantis],233
MDT5222019.1 hypothetical protein [Mycobacterium sp.],233
WP_064414803.1 IclR family transcriptional regulator [Mycolicibacterium novocastrense],233
WP_013829621.1 IclR family transcriptional regulator [Mycolicibacter sinensis],233
WP_064398577.1 IclR family transcriptional regulator [Mycobacterium lehmannii],233
WP_407685656.1 IclR family transcriptional regulator [Mycobacterium sp. HUMS_1102779],233
WP_065040070.1 IclR family transcriptional regulator [Mycolicibacter heraklionensis],233
MFN8068980.1 IclR family transcriptional regulator [Mycolicibacterium insubricum],233
HOB49349.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_059166548.1 IclR family transcriptional regulator [Mycobacterium sp. IS-1556],233
WP_126334524.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_319431982.1 IclR family transcriptional regulator [Mycobacterium sp. RTGN5],233
HXO11067.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_069411716.1 IclR family transcriptional regulator [Mycolicibacterium flavescens],233
WP_265996423.1 IclR family transcriptional regulator [Mycobacterium pinniadriaticum],233
WP_090601106.1 IclR family transcriptional regulator [Mycobacterium lentiflavum],233
WP_076196054.1 IclR family transcriptional regulator [Mycobacterium sp. GA-1841],233
WP_116375922.1 IclR family transcriptional regulator [Mycobacterium sp. MFM001],233
HET9563769.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MFM9032779.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_239722590.1 IclR family transcriptional regulator [Mycobacterium lentiflavum],233
HEV7361846.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_267731061.1 IclR family transcriptional regulator [Mycobacterium sp. Aquia_213],233
WP_313864862.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_085226229.1 IclR family transcriptional regulator [Mycobacterium florentinum],233
WP_330963867.1 IclR family transcriptional regulator [Mycobacterium sp. 050134],233
WP_083029874.1 IclR family transcriptional regulator [Mycolicibacterium insubricum],233
HYB37475.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_083157402.1 IclR family transcriptional regulator [Mycolicibacterium moriokaense],233
WP_353319175.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_219067196.1 IclR family transcriptional regulator [Candidatus Mycobacterium methanotrophicum],233
WP_068296479.1 IclR family transcriptional regulator [Mycobacterium sp. E136],233
WP_115319286.1 IclR family transcriptional regulator [Mycolicibacterium aichiense],233
WP_085325450.1 IclR family transcriptional regulator [Mycobacterium decipiens],233
WP_112554291.1 IclR family transcriptional regulator [Mycolicibacterium sp. GF69],233
WP_075543696.1 IclR family transcriptional regulator [Mycobacterium innocens],233
WP_347683718.1 IclR family transcriptional regulator [Mycobacterium sp. B14F4],233
WP_134427187.1 IclR family transcriptional regulator [Mycobacterium ulcerans],233
WP_096370333.1 IclR family transcriptional regulator [Mycobacterium ulcerans],233
WP_067092201.1 IclR family transcriptional regulator [Mycobacterium sp. 852002-51961_SCH5331710],233
OBA59328.1 IclR family transcriptional regulator [Mycobacterium sp. 1100029.7],233
WP_099249774.1 IclR family transcriptional regulator [Mycobacterium sp. shizuoka-1],233
WP_036467941.1 IclR family transcriptional regulator [Mycobacterium triplex],233
WP_135424500.1 IclR family transcriptional regulator [Mycolicibacterium sp. CH28],233
WP_278223904.1 IclR family transcriptional regulator [Mycolicibacterium gadium],233
WP_085304477.1 IclR family transcriptional regulator [Mycolicibacillus koreensis],233
WP_064854619.1 IclR family transcriptional regulator [Mycolicibacter sinensis],233
WP_286211521.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],233
WP_163750004.1 IclR family transcriptional regulator [Mycolicibacterium helvum],233
WP_006242215.1 IclR family transcriptional regulator [Mycolicibacterium tusciae],233
WP_036436515.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_011740033.1 IclR family transcriptional regulator [Mycobacterium ulcerans],233
WP_083056712.1 IclR family transcriptional regulator [Mycolicibacterium bacteremicum],233
WP_268131173.1 IclR family transcriptional regulator [Mycobacterium sp. Aquia_216],233
ODR05471.1 IclR family transcriptional regulator [Mycolicibacillus koreensis],233
WP_085264534.1 IclR family transcriptional regulator [Mycolicibacter longobardus],233
WP_099040105.1 IclR family transcriptional regulator [Mycobacterium neglectum],233
MDT5088035.1 hypothetical protein [Mycobacterium sp.],233
WP_025738301.1 IclR family transcriptional regulator [Mycobacterium genavense],233
WP_083042466.1 IclR family transcriptional regulator [Mycolicibacterium elephantis],233
WP_003889230.1 IclR family transcriptional regulator [Mycolicibacterium phlei],233
WP_325339102.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_163789738.1 IclR family transcriptional regulator [Mycobacterium stomatepiae],233
WP_285188302.1 IclR family transcriptional regulator [Candidatus Mycobacterium wuenschmannii],233
WP_040548442.1 IclR family transcriptional regulator [Mycolicibacterium thermoresistibile],233
WP_073679712.1 IclR family transcriptional regulator [Mycolicibacterium goodii],233
WP_317158084.1 IclR family transcriptional regulator [Mycobacterium sp. 21AC1],233
MDT5159697.1 hypothetical protein [Mycobacterium sp.],233
WP_026256232.1 IclR family transcriptional regulator [Mycobacterium sp. 155],233
HEX2286788.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067854085.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],233
WP_069398565.1 IclR family transcriptional regulator [Mycobacterium sherrisii],233
WP_085145272.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_038579190.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium ulcerans group],233
HEV7583870.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MET0455862.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_012393539.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
MDT5221117.1 hypothetical protein [Mycobacterium sp.],233
WP_225396595.1 IclR family transcriptional regulator [[Mycobacterium] vasticus],233
WP_163701407.1 IclR family transcriptional regulator [Mycolicibacterium sarraceniae],233
WP_117426399.1 IclR family transcriptional regulator [Mycobacterium marinum],233
WP_085086296.1 IclR family transcriptional regulator [Mycolicibacter senuensis],233
WP_133689920.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
WP_264062739.1 IclR family transcriptional regulator [Mycobacterium montefiorense],233
WP_163686217.1 IclR family transcriptional regulator [Mycolicibacterium gadium],233
MDT5020888.1 hypothetical protein [Mycobacterium sp.],233
WP_069421937.1 IclR family transcriptional regulator [Mycobacterium intermedium],233
WP_328815653.1 IclR family transcriptional regulator [Mycolicibacterium sp. 050232],233
WP_108920666.1 IclR family transcriptional regulator [Mycobacterium montefiorense],233
WP_267306613.1 IclR family transcriptional regulator [Mycobacterium barrassiae],233
WP_393425024.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC048908],233
WP_102806908.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_276759226.1 IclR family transcriptional regulator [Mycolicibacter arupensis],233
WP_163725818.1 IclR family transcriptional regulator [Mycobacterium gallinarum],233
WP_280833829.1 IclR family transcriptional regulator [Mycolicibacterium frederiksbergense],233
HEY5843588.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HEX3546307.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MBI3216428.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_149380442.1 IclR family transcriptional regulator [Mycobacterium sp. ELW1],233
WP_180917668.1 IclR family transcriptional regulator [Mycobacterium vicinigordonae],233
HUL98416.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MDT5082889.1 hypothetical protein [Mycobacterium sp.],233
WP_044510634.1 IclR family transcriptional regulator [Mycobacterium simiae],233
WP_319446987.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
WP_224971870.1 IclR family transcriptional regulator [[Mycobacterium] nativiensis],233
WP_083125957.1 IclR family transcriptional regulator [Mycolicibacterium tusciae],233
WP_229477773.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],233
HXO49300.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_069394985.1 IclR family transcriptional regulator [Mycobacterium shimoidei],233
WP_293003431.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_047329857.1 IclR family transcriptional regulator [Mycobacterium sp. EPa45],233
WP_085130513.1 IclR family transcriptional regulator [Mycolicibacter engbaekii],233
MFN8226402.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_085196582.1 IclR family transcriptional regulator [Mycobacterium fragae],233
WP_046187786.1 IclR family transcriptional regulator [Mycolicibacter arupensis],233
WP_085151544.1 IclR family transcriptional regulator [Mycolicibacterium confluentis],233
MDT5083807.1 hypothetical protein [Mycobacterium sp.],233
WP_085137673.1 IclR family transcriptional regulator [Mycolicibacter hiberniae],233
HXO51188.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_358029629.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC050441],233
WP_065014313.1 IclR family transcriptional regulator [Mycobacterium kyorinense],233
HEX2399371.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HEX3288378.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_083039056.1 IclR family transcriptional regulator [Mycolicibacter algericus],233
MDT7760835.1 hypothetical protein [Mycobacterium sp.],233
MDT5342622.1 hypothetical protein [Mycobacterium sp.],233
MDT5226017.1 hypothetical protein [Mycobacterium sp.],233
WP_026356472.1 IclR family transcriptional regulator [Mycobacterium sp. 141],233
WP_083116745.1 IclR family transcriptional regulator [Mycolicibacterium rhodesiae],233
HEY0224811.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MDT5142647.1 hypothetical protein [Mycobacterium sp.],233
WP_046317428.1 IclR family transcriptional regulator [Mycobacterium sp. UM_Kg1],233
HEX9176916.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067225119.1 IclR family transcriptional regulator [Mycolicibacterium celeriflavum],233
MDT5138530.1 hypothetical protein [Mycobacterium sp.],233
HZN79198.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_308483683.1 IclR family transcriptional regulator [[Mycobacterium] holstebronense],233
WP_071946340.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
HEY6819389.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_373139087.1 IclR family transcriptional regulator [Mycobacterium marinum],233
WP_068250928.1 IclR family transcriptional regulator [Mycobacterium sp. ACS4331],233
WP_036406035.1 IclR family transcriptional regulator [Mycobacterium pseudokansasii],233
WP_236981772.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_096285962.1 IclR family transcriptional regulator [Mycobacterium ahvazicum],233
WP_110314935.1 IclR family transcriptional regulator [Mycolicibacterium moriokaense],233
WP_061558856.1 IclR family transcriptional regulator [Mycobacterium simiae],233
WP_069407610.1 IclR family transcriptional regulator [Mycolicibacterium holsaticum],233
MBV8179382.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_036388277.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_317147579.1 IclR family transcriptional regulator [Mycobacterium sp. 29Ha],233
WP_067341128.1 IclR family transcriptional regulator [Mycobacterium sp. 1245111.1],233
WP_240274956.1 IclR family transcriptional regulator [Mycobacterium ulcerans],233
WP_070945263.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacterium],233
WP_064881892.1 IclR family transcriptional regulator [Mycolicibacterium peregrinum],233
WP_162463528.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],233
WP_368574642.1 IclR family transcriptional regulator [Mycolicibacterium porcinum],233
MBV8860621.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_149773256.1 IclR family transcriptional regulator [Mycolicibacter arupensis],233
WP_036339162.1 IclR family transcriptional regulator [Mycolicibacterium aromaticivorans],233
RFZ64475.1 Transcriptional regulator KdgR [Mycobacterium marinum],233
WP_135453581.1 IclR family transcriptional regulator [Mycobacterium sp. DL99],233
WP_029111385.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
MDT5355714.1 hypothetical protein [Mycobacterium sp.],233
MDT5236085.1 hypothetical protein [Mycobacterium sp.],233
WP_301150357.1 IclR family transcriptional regulator [Mycobacterium simiae],233
WP_055112748.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
WP_036439384.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_064931324.1 IclR family transcriptional regulator [Mycolicibacterium peregrinum],233
MBV9722919.1 IclR family transcriptional regulator [Mycobacterium sp.],233
HEX2214097.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_083088108.1 IclR family transcriptional regulator [Mycobacterium noviomagense],233
WP_220690507.1 IclR family transcriptional regulator [Mycolicibacterium holsaticum],233
WP_144207887.1 IclR family transcriptional regulator [Mycobacterium tilburgii],233
WP_407774709.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MDT5093397.1 hypothetical protein [Mycobacterium sp.],233
WP_077076972.1 IclR family transcriptional regulator [Mycobacterium numidiamassiliense],233
WP_163781065.1 IclR family transcriptional regulator [Mycobacterium cookii],233
WP_003881141.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
MEN3319087.1 hypothetical protein [Mycobacterium sp.],233
WP_217156951.1 IclR family transcriptional regulator [[Mycobacterium] fortunisiensis],233
WP_149441726.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-5],233
WP_011559320.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
WP_011728309.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],233
WP_067931996.1 IclR family transcriptional regulator [Mycobacterium sp. E2479],233
WP_144981352.1 IclR family transcriptional regulator [Mycolicibacterium porcinum],233
WP_071029550.1 IclR family transcriptional regulator [Mycobacterium talmoniae],233
HEY2448391.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_102142960.1 IclR family transcriptional regulator [Mycobacterium hubeiense],233
HEY5841728.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MDT5348027.1 hypothetical protein [Mycobacterium sp.],233
MBY0286386.1 IclR family transcriptional regulator [Mycobacteriaceae bacterium],233
WP_328353717.1 IclR family transcriptional regulator [Mycobacterium sp. NBC_00419],233
HEX4587596.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_067411771.1 IclR family transcriptional regulator [Mycobacterium sp. 1423905.2],233
WP_406757394.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-15],233
MDT5387419.1 hypothetical protein [Mycobacterium sp.],233
WP_024443284.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],233
HZC91290.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_036410611.1 IclR family transcriptional regulator [Mycobacterium gastri],233
WP_134052958.1 IclR family transcriptional regulator [Mycolicibacterium litorale],233
WP_104864689.1 IclR family transcriptional regulator [Mycolicibacterium parafortuitum],233
WP_152516581.1 IclR family transcriptional regulator [Mycolicibacterium sp. OfavD-34-C],233
HME13920.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_225404207.1 IclR family transcriptional regulator [[Mycobacterium] crassicus],233
WP_065129293.1 IclR family transcriptional regulator [Mycobacterium asiaticum],233
WP_059160286.1 IclR family transcriptional regulator [Mycobacterium sp. IS-1496],233
WP_066828540.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],233
WP_135359892.1 IclR family transcriptional regulator [Mycolicibacterium peregrinum],233
WP_059093631.1 IclR family transcriptional regulator [Mycobacterium sp. IS-1742],233
WP_406782139.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-19],233
MET0699879.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_163918244.1 IclR family transcriptional regulator [Mycolicibacterium arabiense],233
WP_370485570.1 IclR family transcriptional regulator [Mycobacterium sp. pUA109],233
WP_083129552.1 IclR family transcriptional regulator [Mycobacterium branderi],233
MCB0948228.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_396729382.1 IclR family transcriptional regulator [Mycobacterium sp. NPDC051804],233
MCE9515400.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MBV9318471.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_377036826.1 IclR family transcriptional regulator [Mycolicibacterium sp. GCM10028919],233
MBV9350010.1 IclR family transcriptional regulator [Mycobacterium sp.],233
WP_163760179.1 IclR family transcriptional regulator [Mycobacterium botniense],233
WP_163768825.1 IclR family transcriptional regulator [Mycolicibacterium parafortuitum],233
WP_260763460.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-4],233
WP_331511791.1 IclR family transcriptional regulator [Mycobacterium sp.],233
MBI3689161.1 IclR family transcriptional regulator [Mycolicibacterium aromaticivorans],233
WP_065019755.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],233
